Año,Recaudación,Espectadores,Fiesta del cine,Pantallas,Gasto medio/espectador,Frecuencia,Nº Películas,Netflix espectadores*,Netflix precio,HBO espectadores*,HBO precio
2016,601375693,100270569,2600000.0,3545,5.93,2.2,1797,900000,7.99,414000,7.99
2017,597143256,99132198,2300000.0,3585,5.93,2.2,1869,1163000,7.99,538000,7.99
2018,588675481,97993827,1800000.0,3578,5.93,2.09,1951,1400000,7.99,1000000,8.99
2019,628076776,105938534,2350000.0,3674,5.86,2.23,1862,2550000,8.99,1290000,8.99
2020,174153477,28876970,,3585,5.99,0.56,1586,3900000,8.99,1800000,8.99
2021,252069251,41499889,1200000.0,3633,6.04,0.86,2105,5256064,11.99,2100000,8.99
2022,376814060,59995576,704977.0,3650,6.19,1.24,2543,6000000,11.99,2600000,8.99
2023,491555176,75472359,1198062.0,3609,6.42,1.6,2450,7620000,12.99,4000000,8.99
2024,479518962,71437087,1394058.0,3464,6.24,1.52,2357,10200000,13.99,34260000,9.99
